Participant,Trial,Avg_Velocity,Driver_Direction,Alert_Combination,Pedestrian_Crossing
Pete,6,16.47990296606601,Straight (left lane),No alert,To driver’s right
Ionel,1,21.281119401171704,Left,Sign 2 + crosswalk,Straight ahead
Kapi,11,27.929418472949106,Left,Sign 2,To driver’s right
Azaan,2,38.794131784798466,Straight (left lane),Crosswalk,To driver’s left
Jenn,16,18.97535406597289,Left,No alert,To driver's left
Calvin,15,17.156354773770698,Straight (left lane),Sign 2,Straight ahead
Pete,7,15.4892583885733,Left,Sign 3 + crosswalk,To driver’s left
Madhav,15,19.787267564554394,Straight (left lane),Sign 2,Straight ahead
Jason,11,29.28067647520703,Left,Sign 2,To driver’s right
Pete,5,17.517280244803725,Left,Sign 3,To driver’s left
Ionel,2,30.957894835163398,Straight (left lane),Crosswalk,To driver’s left
Azaan,1,29.983227416753245,Left,Sign 2 + crosswalk,Straight ahead
Jenn,15,22.162888910165456,Straight (left lane),Sign 2,Straight ahead
Kapi,13,22.60604607932979,Left,Crosswalk,To driver’s left
Pete,4,12.191736567528523,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Eric,15,24.537499682293664,Straight (left lane),Sign 2,Straight ahead
